bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,9.955174936150023,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5527140094696604,nan,nan,nan,14.757059782709186,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",6
8.675,10.807434241341072,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.6044323140025953,nan,nan,nan,24.581374539954712,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",6
8.675,9.555962339771515,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.5255845010143173,nan,nan,nan,10.15518547287048,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",6
8.675,10.302940840263162,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4601601249135114,nan,nan,nan,18.765888648566694,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",6
8.675,9.879047660440166,,variable,variable_equal_average,nan,nan,nan,0.514096827032525,nan,nan,nan,13.879511935909692,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,9.75307867111624,,variable,variable_quality_weighted,nan,nan,nan,0.514096827032525,nan,nan,nan,12.42741983995665,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,10.945217766909138,,variable,variable_weighted_median,nan,nan,nan,0.514096827032525,nan,nan,nan,26.169657255436746,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,11.051154353795344,,variable,variable_mrc,nan,nan,nan,0.514096827032525,nan,nan,nan,27.390828285825275,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,7.309419670563679,,variable,adaptive_selection,nan,nan,nan,0.514096827032525,nan,nan,nan,15.741559993502264,cs_091339,1a,phases,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,10.895202665692953,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5549704153691001,nan,nan,nan,25.593114301936044,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,10.895202665692953,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.6152313518096608,nan,nan,nan,25.593114301936044,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,10.150467019850813,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.5465359757526508,nan,nan,nan,17.00826535851081,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,9.75307867111624,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.514096827032525,nan,nan,nan,12.42741983995665,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",7
8.675,9.517610107624181,,variable,variable_equal_average,nan,nan,nan,0.5414005941858218,nan,nan,nan,9.713084814111587,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,9.437436561650738,,variable,variable_quality_weighted,nan,nan,nan,0.5414005941858218,nan,nan,nan,8.78889408242925,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,10.827837663009648,,variable,variable_weighted_median,nan,nan,nan,0.5414005941858218,nan,nan,nan,24.81657248426106,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,11.01506615542752,,variable,variable_mrc,nan,nan,nan,0.5414005941858218,nan,nan,nan,26.97482599916449,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,10.827837663009648,,variable,adaptive_selection,nan,nan,nan,0.5414005941858218,nan,nan,nan,24.81657248426106,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,11.024837030062592,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.550270339991254,nan,nan,nan,27.08745855979932,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,11.024837030062592,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.6279597475822183,nan,nan,nan,27.08745855979932,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,11.023476815804946,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.4949590571144474,nan,nan,nan,27.07177885654115,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,9.437436561650738,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.5414005941858218,nan,nan,nan,8.78889408242925,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",8
8.675,9.266210046329512,,variable,variable_equal_average,nan,nan,nan,0.5472410193361097,nan,nan,nan,6.815101398611079,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,9.203349351978524,,variable,variable_quality_weighted,nan,nan,nan,0.5472410193361097,nan,nan,nan,6.090482443556463,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,10.509875158474955,,variable,variable_weighted_median,nan,nan,nan,0.5472410193361097,nan,nan,nan,21.151298656771804,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,10.856075044955578,,variable,variable_mrc,nan,nan,nan,0.5472410193361097,nan,nan,nan,25.142075446173795,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,10.509875158474955,,variable,adaptive_selection,nan,nan,nan,0.5472410193361097,nan,nan,nan,21.151298656771804,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,11.157359116390928,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5472410193361097,nan,nan,nan,28.615090678857957,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,11.097935494071534,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.629706032232508,nan,nan,nan,27.93009215068049,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,10.790861127468872,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.5239562974365701,nan,nan,nan,24.390329999641168,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,9.203349351978524,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.5472410193361097,nan,nan,nan,6.090482443556463,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",9
8.675,9.10403583491483,,variable,variable_equal_average,nan,nan,nan,0.5395449108810279,nan,nan,nan,4.945658039364028,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,9.123340243253972,,variable,variable_quality_weighted,nan,nan,nan,0.5395449108810279,nan,nan,nan,5.16818724212071,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,10.327425808287462,,variable,variable_weighted_median,nan,nan,nan,0.5395449108810279,nan,nan,nan,19.048136118587443,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
