bpm_gt,bpm_pred,failure_reason,method,n_tones,n_valid_tones,n_windows,outlier_frac,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,valid,variable,window_end,window_index,window_start
11.49,12.570016031178167,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,1.8873219597202942,10.84537832006031,0.4814867744176989,9.399617329662021,cs_095806,2a,True,phases,36,0,0
11.49,12.58618405466049,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,2.32480542312505,13.648104440377486,0.48283911226764326,9.540331198089559,cs_095806,2a,True,phases,38,1,2
11.49,12.48384615192931,,quality_mrc_single_variable_reference,72,72,,0.05555555555555555,2.616592819820477,12.790186391498667,0.4825187830819628,8.649661896686766,cs_095806,2a,True,phases,40,2,4
11.49,nan,segment_too_short_or_no_tones,quality_mrc_single_variable_reference,,,0,,,,,nan,cs_095806,2b,False,phases,,0,
14.04,15.263226744323818,,quality_mrc_single_variable_reference,72,72,,0.08333333333333333,2.5806117496732246,9.529280843597371,0.48885317314279886,8.7124411988876,cs_095806,3,True,phases,36,0,0
14.04,15.231432464630881,,quality_mrc_single_variable_reference,72,72,,0.08333333333333333,3.377527932847832,7.306405315675186,0.488753813047897,8.485986215319672,cs_095806,3,True,phases,38,1,2
14.04,15.171275095582375,,quality_mrc_single_variable_reference,72,72,,0.06944444444444445,3.689406804741711,5.553952501445291,0.4750589564551536,8.057514925800401,cs_095806,3,True,phases,40,2,4
14.04,15.16075755421219,,quality_mrc_single_variable_reference,72,72,,0.08333333333333333,3.8139626742868007,4.274114522176238,0.47178247723016803,7.9826036624799865,cs_095806,3,True,phases,42,3,6
14.04,15.131380884187116,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,3.7927025250302555,3.4977399834822185,0.4586080149577481,7.773368120990865,cs_095806,3,True,phases,44,4,8
14.04,15.14628494008608,,quality_mrc_single_variable_reference,72,72,,0.06944444444444445,4.006980810467482,2.9318959471330377,0.4640927138075354,7.879522365285475,cs_095806,3,True,phases,46,5,10
14.04,15.144850189605988,,quality_mrc_single_variable_reference,72,72,,0.06944444444444445,4.078712005500179,2.386742960461954,0.4583758761179025,7.869303344772,cs_095806,3,True,phases,48,6,12
14.04,14.73069417588461,,quality_mrc_single_variable_reference,72,72,,0.08333333333333333,4.07057759212924,1.9196204567440447,0.4604932507966111,4.919474187212327,cs_095806,3,True,phases,50,7,14
14.04,13.244534530086991,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,4.0671776495297,1.543439049571239,0.46598124691407206,5.665708475163876,cs_095806,3,True,phases,52,8,16
14.04,12.703802113634273,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,4.047627365132468,2.0037336716382645,0.48465866060967566,9.517078962718847,cs_095806,3,True,phases,54,9,18
14.04,12.498523439925243,,quality_mrc_single_variable_reference,72,72,,0.06944444444444445,3.80660850959895,2.7637341181296136,0.49643323801282224,10.979177778310227,cs_095806,3,True,phases,56,10,20
14.04,12.429626784934669,,quality_mrc_single_variable_reference,72,72,,0.08333333333333333,3.6474745714444885,2.9241324918017226,0.508255973233472,11.469894694197508,cs_095806,3,True,phases,58,11,22
