bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,12.31762847339777,,channel,quality_mrc,72,72,0.0,0.38708999398480826,1.3095507411769356,2.485659099507688,0.42764478519791055,41.989953583835955,cs_091339,1a,,True,phases,,1
8.675,9.751832589421193,,channel,best_tone,72,72,0.0,0.5107891717572488,1.472843766179926,5.666502326341781,0.38323444423988384,12.413055785835068,cs_091339,1a,,True,local_amplitudes,,2
8.675,9.579260276586691,,channel,equal_average,72,72,0.0,0.5043428782366972,1.472843766179926,5.454660221951409,0.38323444423988384,10.42374958601372,cs_091339,1a,,True,local_amplitudes,,2
8.675,10.212251191338577,,channel,liu_weighted_median,72,72,0.0,1.472843766179926,1.472843766179926,3.4449419128070606,0.38323444423988384,17.72047482811039,cs_091339,1a,,True,local_amplitudes,,2
8.675,9.469483582436256,,channel,snr_mrc,72,72,0.0,0.5206194732035749,1.472843766179926,6.194751832604446,0.38323444423988384,9.158312189466919,cs_091339,1a,,True,local_amplitudes,,2
8.675,9.55233519198128,,channel,quality_mrc,72,72,0.0,0.508289383897418,1.472843766179926,5.5837137069878,0.38323444423988384,10.113373970965753,cs_091339,1a,,True,local_amplitudes,,2
8.675,10.560625631241344,,channel,best_tone,72,72,0.0,0.559699985774568,1.6377335536511535,6.299251926228449,0.4282354658079274,21.736318515750348,cs_091339,1a,,True,remote_amplitudes,,2
8.675,14.40292064781193,,channel,equal_average,72,72,0.0,0.559699985774568,1.6377335536511535,6.826640886714734,0.4282354658079274,66.02790372117498,cs_091339,1a,,True,remote_amplitudes,,2
8.675,11.064189976993665,,channel,liu_weighted_median,72,72,0.0,1.6377335536511535,1.6377335536511535,3.7455673438980597,0.4282354658079274,27.541094835661838,cs_091339,1a,,True,remote_amplitudes,,2
8.675,13.833021299273703,,channel,snr_mrc,72,72,0.0,0.5163697931046329,1.6377335536511535,4.711593879718435,0.4282354658079274,59.45845878125306,cs_091339,1a,,True,remote_amplitudes,,2
8.675,14.027800874272327,,channel,quality_mrc,72,72,0.0,0.5213895751187392,1.6377335536511535,4.850342347772241,0.4282354658079274,61.70375647576167,cs_091339,1a,,True,remote_amplitudes,,2
